IDKAB,ind_miskin,jlh_pend_2015,percent_miskin,NMKAB,percent_pov_2020,percent_pov_2016,percent_pov_2015
7101,55752,233189,23.9085034028192,Bolaang Mongondow,7.27,8.34,8.63
7102,23797,329004,7.23304275935855,Minahasa,7.30,8.36,8.80
7103,16662,129584,12.8580688973947,Kepulauan Sangihe,11.14,12.28,12.27
7104,9245,88803,10.4106843237278,Kepulauan Talaud,9.49,10.29,10.09
7105,59000,204983,28.7828746774123,Minahasa Selatan,9.14,9.92,10.22
7106,31720,198084,16.0134084529795,Minahasa Utara,7.00,7.90,8.12
7107,13963,76331,18.2926989034599,Bolaang Mongondow Utara,8.41,9.38,9.72
7108,4448,65582,6.78234881522369,Siau Tagulandang Biaro,8.94,10.58,10.93
7109,18874,104536,18.0550241065279,Minahasa Tenggara,12.30,14.71,15.88
7110,12057,62222,19.377390633538,Bolaang Mongondow Selatan,12.77,14.85,15.17
7111,9083,68692,13.2227915914517,Bolaang Mongondow Timur,5.88,6.77,6.90
7171,46220,425634,10.8590949031327,Kota Manado,5.86,5.24,5.63
7172,39744,205675,19.3236902880758,Kota Bitung,6.41,6.57,6.87
7173,18809,100373,18.7391031452682,Kota Tomohon,5.60,6.56,6.78
7174,13370,119427,11.19512338081,Kota Kotamobagu,5.42,6.01,5.85
7201,22711,114980,19.7521308053575,Banggai Kepulauan,14.04,16.18,16.08
7202,70932,354392,20.0151244949096,Banggai,7.39,9.47,9.84
7203,23794,113132,21.0320687338684,Morowali,13.43,15.13,15.80
7204,65736,235337,27.9327092637367,Poso,15.45,17.71,18.16
7205,65714,293742,22.3713326660811,Donggala,17.39,18.59,18.11
7206,25294,225875,11.1982291090205,Toli-Toli,12.85,13.47,13.64
7207,26284,149004,17.6397949048348,Buol,13.93,16.68,16.36
7208,110786,457707,24.2045675508568,Parigi Moutong,15.85,17.80,18.05
7209,47892,216646,22.1061085826648,Tojo Una-Una,16.39,18.56,18.79
7210,40764,229474,17.7641039943523,Sigi,12.45,12.76,12.75
7211,9128,69514,13.1311678223092,Banggai Laut,14.60,16.60,17.68
7212,27042,117770,22.9617050182559,Morowali Utara,14.10,16.07,16.91
7271,41300,367342,11.2429289327112,Kota Palu,6.80,7.06,7.42
7301,40880,130199,31.3980906151353,Kepulauan Selayar,12.48,13.11,12.94
7302,109611,410485,26.7028027820749,Bulukumba,7.10,8.06,8.15
7303,34539,183386,18.8340440382581,Bantaeng,8.95,9.51,9.53
7304,157308,355599,44.2374697341669,Jeneponto,14.58,15.49,15.18
7305,100733,284906,35.3565737471306,Takalar,8.44,9.35,9.48
7306,241774,722702,33.4541761334547,Gowa,7.38,8.40,8.27
7307,70603,238099,29.6527914858945,Sinjai,9.00,9.41,9.26
7308,79811,339300,23.5222516946655,Maros,9.74,11.41,11.85
7309,89934,323597,27.7919758217783,Pangkajene Dan Kepulauan,13.96,16.22,16.70
7310,53736,171217,31.3847339925358,Barru,8.26,9.45,9.42
7311,270040,879382,30.7079289773955,Bone,10.68,10.07,10.12
7312,52384,226116,23.1668701020715,Soppeng,7.59,8.45,8.36
7313,61438,384238,15.9895689650685,Wajo,6.95,7.47,7.66
7314,49571,289793,17.1056581766985,Sidenreng Rappang,5.05,5.45,5.55
7315,44604,366779,12.1610015840602,Pinrang,8.86,8.48,8.34
7316,73052,199998,36.5263652636526,Enrekang,12.17,13.41,13.82
7317,109775,350218,31.3447624051305,Luwu,12.65,14.35,13.89
7318,81935,228985,35.7818197698539,Tana Toraja,12.10,12.36,12.46
7322,99139,302687,32.7529758463363,Luwu Utara,13.41,14.36,13.87
7325,47628,275595,17.2818810210635,Luwu Timur,6.85,7.52,7.18
7326,98646,225566,43.732654744066,Toraja Utara,12.01,14.57,15.19
7371,166580,1449401,11.4930236697781,Kota Makassar,4.54,4.56,4.38
7372,21452,138699,15.4665859162647,Kota Parepare,5.44,5.73,6.08
7373,14085,168894,8.33955025045295,Kota Palopo,7.85,8.74,8.58
7401,27264,97670,27.9144056516842,Buton,13.21,13.22,13.75
7402,81877,211620,38.6905774501465,Muna,12.83,15.22,15.45
7403,48770,233610,20.8766747998801,Konawe,12.20,16.09,16.09
7404,32789,241555,13.5741342551386,Kolaka,11.63,15.05,14.68
7405,32162,295326,10.890338134807,Konawe Selatan,10.74,11.36,11.58
7406,47951,164809,29.0948916624699,Bombana,10.01,13.06,12.55
7407,14061,94985,14.8033900089488,Wakatobi,14.31,16.46,16.88
7408,57847,140707,41.1116717718379,Kolaka Utara,12.96,17.11,16.53
7409,19229,59779,32.1668144331622,Buton Utara,14.10,15.78,15.86
7410,10047,58401,17.2034725432784,Konawe Utara,13.53,9.75,9.97
7411,23487,176495,13.3074591348197,Kolaka Timur,13.47,15.71,15.57
7412,16132,31688,50.9088613986367,Konawe Kepulauan,17.01,17.72,16.73
7413,37131,77084,48.1695293446111,Muna Barat,13.30,15.77,-
7414,32191,89279,36.0566314586857,Buton Tengah,15.32,13.69,-
7415,29344,77548,37.8397895496983,Buton Selatan,14.11,13.74,-
7471,41408,347496,11.9161083868591,Kota Kendari,4.34,5.51,5.59
7472,37682,154877,24.3302749924133,Kota Baubau,7.15,8.81,9.24
7501,55448,142624,38.8770473412609,Boalemo,18.57,21.11,21.67
7502,173591,388054,44.7337226262324,Gorontalo,17.56,21.03,21.80
7503,27275,137831,19.7887267740929,Pohuwato,17.62,21.17,22.43
7504,52743,158540,33.2679449981077,Bone Bolango,15.81,17.97,18.49
7505,30618,110701,27.6582867363438,Gorontalo Utara,16.88,18.51,18.93
7571,42199,192898,21.876328422275,Kota Gorontalo,5.59,6.05,6.05
7601,61346,163896,37.4298335529848,Majene,13.73,14.89,15.57
7602,164829,422793,38.9857447970993,Polewali Mandar,15.26,17.06,18.22
7603,49407,151825,32.5420714638564,Mamasa,13.38,13.90,14.71
7604,36458,265800,13.7163280662152,Mamuju,6.92,6.48,6.70
7605,20508,156464,13.1071684221291,Mamuju Utara,4.48,4.82,4.99
7606,10553,121384,8.69389705397746,Mamuju Tengah,6.79,6.83,6.86
